n,combo,best_params,accuracy
5,"('Total', 'MCQ', 'Q1', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
5,"('Total', 'MCQ', 'Q1', 'Q3', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
5,"('Total', 'MCQ', 'Q1', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5723684210526315
5,"('Total', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5723684210526315
5,"('Total', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
5,"('MCQ', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5723684210526315
6,"('Gender', 'MCQ', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5723684210526315
3,"('Gender', 'Q1', 'Q2')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5657894736842105
3,"('Gender', 'Q2', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5657894736842105
3,"('Gender', 'Q3', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
3,"('Total', 'MCQ', 'Q3')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
3,"('MCQ', 'Q2', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
3,"('Q1', 'Q2', 'Q4')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
4,"('Gender', 'Total', 'Q2', 'Q5')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5657894736842105
4,"('Gender', 'Q1', 'Q2', 'Q3')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
4,"('Gender', 'Q1', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5657894736842105
4,"('Total', 'MCQ', 'Q2', 'Q4')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
4,"('Total', 'Q1', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
4,"('Total', 'Q2', 'Q3', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
4,"('Q1', 'Q2', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5657894736842105
5,"('Gender', 'Total', 'Q2', 'Q3', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
5,"('Gender', 'MCQ', 'Q2', 'Q4', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5657894736842105
5,"('MCQ', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
6,"('Gender', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
6,"('Total', 'MCQ', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
3,"('Gender', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5592105263157895
3,"('Q1', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
3,"('Q2', 'Q4', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
4,"('Total', 'MCQ', 'Q3', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
4,"('Total', 'Q1', 'Q2', 'Q4')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
4,"('MCQ', 'Q1', 'Q2', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5592105263157895
4,"('MCQ', 'Q2', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5592105263157895
4,"('Q1', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
5,"('Total', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
5,"('Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
3,"('Total', 'Q2', 'Q4')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5526315789473685
3,"('Q1', 'Q2', 'Q3')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5526315789473685
3,"('Q2', 'Q3', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5526315789473685
4,"('Gender', 'Q1', 'Q2', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5526315789473685
4,"('Total', 'MCQ', 'Q3', 'Q4')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5526315789473685
4,"('Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5526315789473685
5,"('Total', 'MCQ', 'Q2', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5526315789473685
5,"('Total', 'Q1', 'Q2', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5526315789473685
3,"('Gender', 'Q2', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5460526315789473
3,"('Total', 'Q2', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5460526315789473
3,"('Q2', 'Q3', 'Q4')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5460526315789473
3,"('Q3', 'Q4', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5460526315789473
4,"('Gender', 'Q1', 'Q3', 'Q4')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5460526315789473
4,"('Gender', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5460526315789473
4,"('Q1', 'Q2', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5460526315789473
3,"('MCQ', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5394736842105263
5,"('Gender', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5394736842105263
5,"('Total', 'MCQ', 'Q2', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5394736842105263
3,"('Gender', 'Q1', 'Q5')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5328947368421053
3,"('Gender', 'Q4', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5328947368421053
3,"('Q1', 'Q3', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5328947368421053
4,"('Total', 'Q2', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5328947368421053
4,"('Gender', 'Q2', 'Q3', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5197368421052632
3,"('Gender', 'Q1', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5131578947368421
3,"('Q1', 'Q2', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5131578947368421
